Run Fondo;run_fondo_largo;nombre_fondo;nombre_fm_corto;vigencia;estado;tipo_fondo;rut_adm;razon_social_adm;fecha_deposito;fecha_ult_modificacion;fecha_inicio_operaciones;n_resolucion;fecha_cumplimiento;fecha_termino;numero_registro
8207;8207-4;FONDO MUTUO BTG PACTUAL RENTA LATINOAMERICANA HIGH YIELD;BTG HIGH YIELD;Vigente;;3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-02-12;2020-08-04;2002-02-07;Res. 252 (07/02/2002);2002-02-07;;FM110107
8244;8244-9;FONDO MUTUO SCOTIA DEUDA LATAM DOLAR;DEUDA LATAM DOLAR;Vigente;;3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2018-12-10;2021-09-24;2002-10-03;Res. 358 (03/10/2002);2002-11-04;;FM110121
8249;8249-K;FONDO MUTUO BANCHILE LATAM CORPORATE INVESTMENT GRADE;LATAM CORP INVESTMEN;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-10-19;2022-11-09;2003-02-24;Res. 389 (24/02/2003);2003-03-05;;FM110185
8254;8254-6;FONDO MUTUO ITAU LATAM CORPORATE;LATAM CORPORATE;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-22;2023-03-23;2002-11-15;Res. 422 (15/11/2002);2002-11-27;;FM110245
8502;8502-2;FONDO MUTUO LARRAINVIAL BONOS LATAM;BONOS LATAM;Vigente;;6-FM DE LIBRE INVERSION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-07-28;2023-08-25;2007-03-07;Res. 525 (07/03/2007);2007-03-07;;FM110013
8619;8619-3;FONDO MUTUO PRINCIPAL DEUDA INTERNACIONAL;DEUDA INTERNACIONAL;Vigente;;6-FM DE LIBRE INVERSION;91999000-7;PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-03-31;2022-12-30;2008-04-24;Res. 299 (24/04/2008);2008-04-24;;FM110291
8750;8750-5;FONDO MUTUO BICE BONOS LATAM;BICE BONOS LATAM;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-09-21;2023-06-28;2009-10-03;Res. 202 (03/10/2009);2009-10-03;;FM110347
8753;8753-K;FONDO MUTUO BANCOESTADO BNP PARIBAS RENTA EMERGENTE;BNP RENTA EMERGENTE;Vigente;;6-FM DE LIBRE INVERSION;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-07-12;2021-04-22;2009-11-20;Res. 624 (20/11/2009);2009-12-15;;FM110316
8906;8906-0;FONDO MUTUO SANTANDER DEUDA LATAM;DEUDA LATAM;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-07-29;2023-11-23;2011-12-20;-;2011-12-20;;FM110537
8940;8940-0;FONDO MUTUO SECURITY DEUDA CORPORATIVA LATINOAMERICANA;DEUDA CORPORATIVA;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2022-12-27;2023-03-01;2012-07-11;-;2012-07-11;;FM120573
8967;8967-2;FONDO MUTUO BCI DEUDA LATAM HY;FM BCI D.L. HY;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-02-03;2022-05-24;2012-12-20;-;2012-12-21;;FM120600
9073;9073-5;FONDO MUTUO SECURITY DEUDA CORPORATIVA LATINOAMERICANA I.G.;DCL I.G.;No Vigente;;3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-06-12;2020-07-24;2014-11-26;-;2014-12-11;2023-01-25;FM140710
9221;9221-5;FONDO MUTUO LARRAINVIAL AHORRO DÓLAR;FMLV AHORRO DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-07-28;2023-11-02;2015-08-18;-;2015-09-08;;FM150962
9352;9352-1;FONDO MUTUO SANTANDER DEUDA LATAM ESG DÓLAR;DEUDA LATAM ESG DOLA;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-11-16;2023-11-23;2016-08-16;-;2016-08-18;;FM161093
9365;9365-3;FONDO MUTUO CREDICORP CAPITAL DEUDA CORPORATIVA LATAM INVESTMENT GRADE;FM CC DEUDA LATAM IG;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-08-03;2023-02-02;2016-09-01;-;2016-12-13;;FM161106
9445;9445-5;FONDO MUTUO BCI RETORNO DÓLAR IG;FM BCI RET. DOLAR IG;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-02-03;2022-05-24;2017-04-24;-;2017-05-03;;FM171186
9449;9449-8;FONDO MUTUO BTG PACTUAL RENTA LATINOAMERICANA INVESTMENT GRADE;BTG INVESTMENT GRADE;Vigente;;6-FM DE LIBRE INVERSION;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-02-17;2023-03-22;2017-07-10;-;2017-08-01;;FM171190
