Run Fondo;fecha;nombre_fondo;nemo_instrumento;nombre_emisor;rut_emisor;digito_verificador;codigo_pais_emisor;tipo_instrumento;fecha_vencimiento;situacion_instrumento;clasificacion_riesgo;nombre_grupo_empresarial;codigo_grupo_empresarial;cantidad_unidades;tipo_unidades;tir;valor_par;valor_relevante;codigo_valorizacion;base_tasa;tipo_interes;valorizacion_al_cierre;codigo_moneda_liquidacion;codigo_pais_transaccion;porcentaje_capital_emisor;porcentaje_total_activos_emisor;porcentaje_total_activos_fondos
8207;2023-01-31;BTG HIGH YIELD;USG38327AB13;GeoPark Limited;;;GB;BEE;17-01-2027;1;B;GeoPark Limited;;100000;PROM;5.36;;;1;360;NC;89;PROM;US;0;0;4.073
8207;2023-01-31;BTG HIGH YIELD;USL6364EAA12;MX REMIT FUND FIDUC EST;;;LU;BEE;15-01-2028;1;BB;MX REMIT FUND FIDUC EST;;200000;PROM;4.37;;;1;360;NC;185;PROM;US;0;0;8.466
8207;2023-01-31;BTG HIGH YIELD;USP0R11WAG52;Banco Davivienda S.A.;;;CO;BBFE;22-04-2031;1;B;Banco Davivienda S.A.;;300000;PROM;9.47;;;1;360;NC;242;PROM;US;0;0;11.074
8207;2023-01-31;BTG HIGH YIELD;USP12651AD05;BANCO GENERAL SA;;;PA;BEE;07-05-2100;1;BB;BANCO GENERAL SA;;200000;PROM;7.32;;;1;360;NC;175;PROM;US;0;0;8.008
8207;2023-01-31;BTG HIGH YIELD;USP1451JAA18;BANCO NACIONAL COM EXT;;;MX;BBFE;11-08-2031;1;BB;BANCO NACIONAL COM EXT;;100000;PROM;6.67;;;1;360;NC;86;PROM;US;0;0;3.935
8207;2023-01-31;BTG HIGH YIELD;USP1507SAG23;BANCO SANTANDER SA;;;MX;BBFE;01-10-2028;1;BBB;BANCO SANTANDER SA;;100000;PROM;6.53;;;1;360;NC;102;PROM;US;0;0;4.668
8207;2023-01-31;BTG HIGH YIELD;USP3146DAA11;CORPORACION INMOBILIARIA;;;MX;BEE;13-05-2031;1;BBB;CORPORACION INMOBILIARIA;;100000;PROM;5.74;;;1;360;NC;87;PROM;US;0;0;3.981
8207;2023-01-31;BTG HIGH YIELD;USP4955MAA91;GRUPO AXO SA DE CV;;;MX;BEE;08-06-2026;1;BB;GRUPO AXO SA DE CV;;200000;PROM;9.69;;;1;360;NC;179;PROM;US;0;0;8.191
8207;2023-01-31;BTG HIGH YIELD;USP56243AD31;FIDEICOMISO INRETAIL;;;PE;BEE;03-04-2028;1;BB;FIDEICOMISO INRETAIL;;200000;PROM;6.66;;;1;360;NC;194;PROM;US;0;0;8.877
8207;2023-01-31;BTG HIGH YIELD;US71643VAB18;PETROLEOS MEXICANOS;;;MX;BEE;16-02-2032;1;B;PETROLEOS MEXICANOS;;199000;PROM;9.57;;;1;360;NC;171;PROM;US;0;0;7.825
