Run Fondo;fecha;nombre_fondo;nemo_instrumento;nombre_emisor;rut_emisor;digito_verificador;codigo_pais_emisor;tipo_instrumento;fecha_vencimiento;situacion_instrumento;clasificacion_riesgo;nombre_grupo_empresarial;codigo_grupo_empresarial;cantidad_unidades;tipo_unidades;tir;valor_par;valor_relevante;codigo_valorizacion;base_tasa;tipo_interes;valorizacion_al_cierre;codigo_moneda_liquidacion;codigo_pais_transaccion;porcentaje_capital_emisor;porcentaje_total_activos_emisor;porcentaje_total_activos_fondos
8207;2023-04-30;BTG HIGH YIELD;USP0607LAC74;;94272000;9;CL;BNEE;26-03-2079;1;BB;;201;150000;PROM;9.17;;;1;360;NC;142;PROM;US;0;0;6.454
8207;2023-06-30;BTG HIGH YIELD;USP0607LAC74;;94272000;9;CL;BNEE;26-03-2079;1;BB;;201;150000;PROM;9.4;;;1;360;NC;140;PROM;US;0;0;3.777
8207;2023-06-30;BTG HIGH YIELD;USP0607LAD57;;94272000;9;CL;BNEE;07-10-2079;1;BB;;201;100000;PROM;9.49;;;1;360;NC;92;PROM;US;0;0;2.482
8207;2023-07-31;BTG HIGH YIELD;USP0607LAC74;;94272000;9;CL;BNEE;26-03-2079;1;BB;;201;150000;PROM;6.27;;;1;360;NC;144;PROM;US;0;0;3.629
8207;2023-07-31;BTG HIGH YIELD;USP0607LAD57;;94272000;9;CL;BNEE;07-10-2079;1;BB;;201;100000;PROM;9.19;;;1;360;NC;96;PROM;US;0;0;2.419
8244;2023-01-31;DEUDA LATAM DOLAR;US168863CF36;;60805000;0;CL;BEC;06-02-2028;1;NA;;0;275000;PROM;94.88;;;1;360;RL;265;PROM;CL;0;0;4.531
8244;2023-01-31;DEUDA LATAM DOLAR;US168863CF36;;60805000;0;CL;BEC;06-02-2028;1;NA;;0;200000;PROM;94.88;;;1;360;RL;193;PROM;CL;0;0;3.3
8244;2023-01-31;DEUDA LATAM DOLAR;USP37110AJ50;;92604000;6;CL;BNEE;30-10-2024;1;A;;21;150000;PROM;97.89;;;1;360;RL;148;PROM;CL;0;0;2.53
8244;2023-01-31;DEUDA LATAM DOLAR;USP3984LAA81;;90749000;9;CL;BNEE;15-01-2032;1;AA;;73;250000;PROM;81.41;;;1;360;RL;204;PROM;CL;0;0;3.488
8244;2023-01-31;DEUDA LATAM DOLAR;USP58072AL66;;96596540;8;CL;BNEE;04-04-2027;1;BBB;;2;300000;PROM;97.53;;;1;360;RC;297;PROM;CL;0;0;5.078
