fecha;Run Fondo;serie;mes1;mes3;mes6;y1;ytd;rent
2023-01-31;8940;APV;1M;;;;;
2023-01-31;8967;APV;1M;;;;;-0.0571330823
2023-01-31;9073;APV;1M;;;;;
2023-01-31;9221;APV;1M;;;;;-0.0496550635
2023-01-31;9352;APV;1M;;;;;
2023-01-31;9365;APV;1M;;;;;
2023-01-31;9445;APV;1M;;;;;-0.0489104141
2023-01-31;9449;APV;1M;;;;;
2023-01-31;8940;APV;;3M;;;;
2023-01-31;8967;APV;;3M;;;;-0.1381833603
2023-01-31;9073;APV;;3M;;;;
2023-01-31;9221;APV;;3M;;;;-0.1184786708
2023-01-31;9352;APV;;3M;;;;
2023-01-31;9365;APV;;3M;;;;
2023-01-31;9445;APV;;3M;;;;-0.1139243821
2023-01-31;9449;APV;;3M;;;;
2023-01-31;8940;APV;;;6M;;;
2023-01-31;8967;APV;;;6M;;;-0.0785072533
2023-01-31;9073;APV;;;6M;;;
2023-01-31;9221;APV;;;6M;;;-0.1086649999
2023-01-31;9352;APV;;;6M;;;
2023-01-31;9365;APV;;;6M;;;
2023-01-31;9445;APV;;;6M;;;-0.1007254217
2023-01-31;9449;APV;;;6M;;;
2023-01-31;8940;APV;;;;1Y;;
2023-01-31;8967;APV;;;;1Y;;-0.1535920493
2023-01-31;9073;APV;;;;1Y;;
2023-01-31;9221;APV;;;;1Y;;-0.0883162258
2023-01-31;9352;APV;;;;1Y;;
2023-01-31;9365;APV;;;;1Y;;
2023-01-31;9445;APV;;;;1Y;;-0.0894183604
2023-01-31;9449;APV;;;;1Y;;
2023-01-31;8940;APV;;;;;YTD;
2023-01-31;8967;APV;;;;;YTD;-0.0571330823
2023-01-31;9073;APV;;;;;YTD;
2023-01-31;9221;APV;;;;;YTD;-0.0496118894
2023-01-31;9352;APV;;;;;YTD;
2023-01-31;9365;APV;;;;;YTD;
2023-01-31;9445;APV;;;;;YTD;-0.0489104141
2023-01-31;9449;APV;;;;;YTD;
2023-02-01;8940;APV;1M;;;;;
2023-02-01;8967;APV;1M;;;;;-0.0717636010
2023-02-01;9073;APV;1M;;;;;
2023-02-01;9221;APV;1M;;;;;-0.0640700432
2023-02-01;9352;APV;1M;;;;;
2023-02-01;9365;APV;1M;;;;;
2023-02-01;9445;APV;1M;;;;;-0.0636685245
2023-02-01;9449;APV;1M;;;;;
2023-02-01;8940;APV;;3M;;;;
2023-02-01;8967;APV;;3M;;;;-0.1515562173
2023-02-01;9073;APV;;3M;;;;
2023-02-01;9221;APV;;3M;;;;-0.1318396831
2023-02-01;9352;APV;;3M;;;;
2023-02-01;9365;APV;;3M;;;;
2023-02-01;9445;APV;;3M;;;;-0.1276736671
2023-02-01;9449;APV;;3M;;;;
2023-02-01;8940;APV;;;6M;;;
2023-02-01;8967;APV;;;6M;;;-0.0908914139
2023-02-01;9073;APV;;;6M;;;
2023-02-01;9221;APV;;;6M;;;-0.0991788221
2023-02-01;9352;APV;;;6M;;;
2023-02-01;9365;APV;;;6M;;;
2023-02-01;9445;APV;;;6M;;;-0.0935789890
2023-02-01;9449;APV;;;6M;;;
2023-02-01;8940;APV;;;;1Y;;
2023-02-01;8967;APV;;;;1Y;;-0.1667258089
2023-02-01;9073;APV;;;;1Y;;
2023-02-01;9221;APV;;;;1Y;;-0.0990420628
2023-02-01;9352;APV;;;;1Y;;
2023-02-01;9365;APV;;;;1Y;;
2023-02-01;9445;APV;;;;1Y;;-0.1009083830
2023-02-01;9449;APV;;;;1Y;;
2023-02-01;8940;APV;;;;;YTD;
2023-02-01;8967;APV;;;;;YTD;-0.0717636010
2023-02-01;9073;APV;;;;;YTD;
2023-02-01;9221;APV;;;;;YTD;-0.0638957405
2023-02-01;9352;APV;;;;;YTD;
2023-02-01;9365;APV;;;;;YTD;
2023-02-01;9445;APV;;;;;YTD;-0.0636685245
2023-02-01;9449;APV;;;;;YTD;
2023-02-02;8940;APV;1M;;;;;
2023-02-02;8967;APV;1M;;;;;-0.0838501047
2023-02-02;9073;APV;1M;;;;;
2023-02-02;9221;APV;1M;;;;;-0.0756181853
2023-02-02;9352;APV;1M;;;;;
2023-02-02;9365;APV;1M;;;;;
2023-02-02;9445;APV;1M;;;;;-0.0745292892
2023-02-02;9449;APV;1M;;;;;
2023-02-02;8940;APV;;3M;;;;
2023-02-02;8967;APV;;3M;;;;-0.1638896168
2023-02-02;9073;APV;;3M;;;;
2023-02-02;9221;APV;;3M;;;;-0.1451409224
2023-02-02;9352;APV;;3M;;;;
2023-02-02;9365;APV;;3M;;;;
2023-02-02;9445;APV;;3M;;;;-0.1391159885
2023-02-02;9449;APV;;3M;;;;
2023-02-02;8940;APV;;;6M;;;
2023-02-02;8967;APV;;;6M;;;-0.1123956688
2023-02-02;9073;APV;;;6M;;;
2023-02-02;9221;APV;;;6M;;;-0.1140064333
2023-02-02;9352;APV;;;6M;;;
2023-02-02;9365;APV;;;6M;;;
2023-02-02;9445;APV;;;6M;;;-0.1081168421
2023-02-02;9449;APV;;;6M;;;
2023-02-02;8940;APV;;;;1Y;;
2023-02-02;8967;APV;;;;1Y;;-0.1775758161
2023-02-02;9073;APV;;;;1Y;;
2023-02-02;9221;APV;;;;1Y;;-0.1150290144
2023-02-02;9352;APV;;;;1Y;;
2023-02-02;9365;APV;;;;1Y;;
2023-02-02;9445;APV;;;;1Y;;-0.1162218514
2023-02-02;9449;APV;;;;1Y;;
2023-02-02;8940;APV;;;;;YTD;
2023-02-02;8967;APV;;;;;YTD;-0.0838501047
2023-02-02;9073;APV;;;;;YTD;
2023-02-02;9221;APV;;;;;YTD;-0.0753158758
2023-02-02;9352;APV;;;;;YTD;
2023-02-02;9365;APV;;;;;YTD;
2023-02-02;9445;APV;;;;;YTD;-0.0745292892
2023-02-02;9449;APV;;;;;YTD;
2023-02-03;8940;APV;1M;;;;;
2023-02-03;8967;APV;1M;;;;;-0.0711494983
2023-02-03;9073;APV;1M;;;;;
2023-02-03;9221;APV;1M;;;;;-0.0638644114
2023-02-03;9352;APV;1M;;;;;
2023-02-03;9365;APV;1M;;;;;
2023-02-03;9445;APV;1M;;;;;-0.0616994681
2023-02-03;9449;APV;1M;;;;;
2023-02-03;8940;APV;;3M;;;;
2023-02-03;8967;APV;;3M;;;;-0.1657244857
2023-02-03;9073;APV;;3M;;;;
2023-02-03;9221;APV;;3M;;;;-0.1476954578
2023-02-03;9352;APV;;3M;;;;
2023-02-03;9365;APV;;3M;;;;
2023-02-03;9445;APV;;3M;;;;-0.1422763709
2023-02-03;9449;APV;;3M;;;;
2023-02-03;8940;APV;;;6M;;;
2023-02-03;8967;APV;;;6M;;;-0.1152397337
2023-02-03;9073;APV;;;6M;;;
2023-02-03;9221;APV;;;6M;;;-0.1174726075
2023-02-03;9352;APV;;;6M;;;
2023-02-03;9365;APV;;;6M;;;
2023-02-03;9445;APV;;;6M;;;-0.1101954160
2023-02-03;9449;APV;;;6M;;;
2023-02-03;8940;APV;;;;1Y;;
2023-02-03;8967;APV;;;;1Y;;-0.1697987452
2023-02-03;9073;APV;;;;1Y;;
2023-02-03;9221;APV;;;;1Y;;-0.1195792061
2023-02-03;9352;APV;;;;1Y;;
2023-02-03;9365;APV;;;;1Y;;
2023-02-03;9445;APV;;;;1Y;;-0.1198532139
2023-02-03;9449;APV;;;;1Y;;
2023-02-03;8940;APV;;;;;YTD;
2023-02-03;8967;APV;;;;;YTD;-0.0751867376
2023-02-03;9073;APV;;;;;YTD;
2023-02-03;9221;APV;;;;;YTD;-0.0675492162
2023-02-03;9352;APV;;;;;YTD;
2023-02-03;9365;APV;;;;;YTD;
2023-02-03;9445;APV;;;;;YTD;-0.0657777819
2023-02-03;9449;APV;;;;;YTD;
2023-02-04;8940;APV;1M;;;;;
2023-02-04;8967;APV;1M;;;;;-0.0743647113
2023-02-04;9073;APV;1M;;;;;
2023-02-04;9221;APV;1M;;;;;-0.0674970714
2023-02-04;9352;APV;1M;;;;;
2023-02-04;9365;APV;1M;;;;;
2023-02-04;9445;APV;1M;;;;;-0.0663040307
2023-02-04;9449;APV;1M;;;;;
2023-02-04;8940;APV;;3M;;;;
2023-02-04;8967;APV;;3M;;;;-0.1510767637
2023-02-04;9073;APV;;3M;;;;
2023-02-04;9221;APV;;3M;;;;-0.1331355355
2023-02-04;9352;APV;;3M;;;;
2023-02-04;9365;APV;;3M;;;;
2023-02-04;9445;APV;;3M;;;;-0.1272169606
2023-02-04;9449;APV;;3M;;;;
2023-02-04;8940;APV;;;6M;;;
2023-02-04;8967;APV;;;6M;;;-0.1138849483
2023-02-04;9073;APV;;;6M;;;
2023-02-04;9221;APV;;;6M;;;-0.1140572594
2023-02-04;9352;APV;;;6M;;;
2023-02-04;9365;APV;;;6M;;;
2023-02-04;9445;APV;;;6M;;;-0.1076572228
2023-02-04;9449;APV;;;6M;;;
2023-02-04;8940;APV;;;;1Y;;
2023-02-04;8967;APV;;;;1Y;;-0.1697987452
2023-02-04;9073;APV;;;;1Y;;
2023-02-04;9221;APV;;;;1Y;;-0.1280116415
2023-02-04;9352;APV;;;;1Y;;
2023-02-04;9365;APV;;;;1Y;;
2023-02-04;9445;APV;;;;1Y;;-0.1279183314
2023-02-04;9449;APV;;;;1Y;;
2023-02-04;8940;APV;;;;;YTD;
2023-02-04;8967;APV;;;;;YTD;-0.0751867376
2023-02-04;9073;APV;;;;;YTD;
2023-02-04;9221;APV;;;;;YTD;-0.0674391011
2023-02-04;9352;APV;;;;;YTD;
2023-02-04;9365;APV;;;;;YTD;
2023-02-04;9445;APV;;;;;YTD;-0.0657777819
2023-02-04;9449;APV;;;;;YTD;
2023-02-05;8940;APV;1M;;;;;
2023-02-05;8967;APV;1M;;;;;-0.0756726477
2023-02-05;9073;APV;1M;;;;;
2023-02-05;9221;APV;1M;;;;;-0.0686415689
2023-02-05;9352;APV;1M;;;;;
2023-02-05;9365;APV;1M;;;;;
2023-02-05;9445;APV;1M;;;;;-0.0676233570
2023-02-05;9449;APV;1M;;;;;
2023-02-05;8940;APV;;3M;;;;
2023-02-05;8967;APV;;3M;;;;-0.1510767637
2023-02-05;9073;APV;;3M;;;;
2023-02-05;9221;APV;;3M;;;;-0.1331440848
2023-02-05;9352;APV;;3M;;;;
2023-02-05;9365;APV;;3M;;;;
2023-02-05;9445;APV;;3M;;;;-0.1272169606
2023-02-05;9449;APV;;3M;;;;
2023-02-05;8940;APV;;;6M;;;
2023-02-05;8967;APV;;;6M;;;-0.1277731956
2023-02-05;9073;APV;;;6M;;;
2023-02-05;9221;APV;;;6M;;;-0.1231890826
2023-02-05;9352;APV;;;6M;;;
2023-02-05;9365;APV;;;6M;;;
2023-02-05;9445;APV;;;6M;;;-0.1179809762
2023-02-05;9449;APV;;;6M;;;
2023-02-05;8940;APV;;;;1Y;;
2023-02-05;8967;APV;;;;1Y;;-0.1697987452
2023-02-05;9073;APV;;;;1Y;;
2023-02-05;9221;APV;;;;1Y;;-0.1279806715
2023-02-05;9352;APV;;;;1Y;;
2023-02-05;9365;APV;;;;1Y;;
2023-02-05;9445;APV;;;;1Y;;-0.1279183314
2023-02-05;9449;APV;;;;1Y;;
2023-02-05;8940;APV;;;;;YTD;
2023-02-05;8967;APV;;;;;YTD;-0.0751867376
2023-02-05;9073;APV;;;;;YTD;
2023-02-05;9221;APV;;;;;YTD;-0.0673287306
2023-02-05;9352;APV;;;;;YTD;
2023-02-05;9365;APV;;;;;YTD;
2023-02-05;9445;APV;;;;;YTD;-0.0657777819
2023-02-05;9449;APV;;;;;YTD;
2023-02-06;8940;APV;1M;;;;;
2023-02-06;8967;APV;1M;;;;;-0.0459677648
2023-02-06;9073;APV;1M;;;;;
2023-02-06;9221;APV;1M;;;;;-0.0407737928
2023-02-06;9352;APV;1M;;;;;
2023-02-06;9365;APV;1M;;;;;
2023-02-06;9445;APV;1M;;;;;-0.0362615382
2023-02-06;9449;APV;1M;;;;;
2023-02-06;8940;APV;;3M;;;;
2023-02-06;8967;APV;;3M;;;;-0.1339558262
2023-02-06;9073;APV;;3M;;;;
2023-02-06;9221;APV;;3M;;;;-0.1167755297
2023-02-06;9352;APV;;3M;;;;
2023-02-06;9365;APV;;3M;;;;
2023-02-06;9445;APV;;3M;;;;-0.1096148227
2023-02-06;9449;APV;;3M;;;;
2023-02-06;8940;APV;;;6M;;;
2023-02-06;8967;APV;;;6M;;;-0.1101555586
2023-02-06;9073;APV;;;6M;;;
2023-02-06;9221;APV;;;6M;;;-0.1066069991
2023-02-06;9352;APV;;;6M;;;
2023-02-06;9365;APV;;;6M;;;
2023-02-06;9445;APV;;;6M;;;-0.1001925686
2023-02-06;9449;APV;;;6M;;;
2023-02-06;8940;APV;;;;1Y;;
2023-02-06;8967;APV;;;;1Y;;-0.1530553895
2023-02-06;9073;APV;;;;1Y;;
2023-02-06;9221;APV;;;;1Y;;-0.1114736461
2023-02-06;9352;APV;;;;1Y;;
2023-02-06;9365;APV;;;;1Y;;
2023-02-06;9445;APV;;;;1Y;;-0.1103303387
2023-02-06;9449;APV;;;;1Y;;
2023-02-06;8940;APV;;;;;YTD;
2023-02-06;8967;APV;;;;;YTD;-0.0565352632
2023-02-06;9073;APV;;;;;YTD;
2023-02-06;9221;APV;;;;;YTD;-0.0495949597
2023-02-06;9352;APV;;;;;YTD;
2023-02-06;9365;APV;;;;;YTD;
2023-02-06;9445;APV;;;;;YTD;-0.0469365492
2023-02-06;9449;APV;;;;;YTD;
2023-02-07;8940;APV;1M;;;;;
2023-02-07;8967;APV;1M;;;;;-0.0522861212
2023-02-07;9073;APV;1M;;;;;
2023-02-07;9221;APV;1M;;;;;-0.0470753048
2023-02-07;9352;APV;1M;;;;;
2023-02-07;9365;APV;1M;;;;;
2023-02-07;9445;APV;1M;;;;;-0.0412662037
2023-02-07;9449;APV;1M;;;;;
2023-02-07;8940;APV;;3M;;;;
2023-02-07;8967;APV;;3M;;;;-0.1277258513
2023-02-07;9073;APV;;3M;;;;
2023-02-07;9221;APV;;3M;;;;-0.1101239321
2023-02-07;9352;APV;;3M;;;;
2023-02-07;9365;APV;;3M;;;;
2023-02-07;9445;APV;;3M;;;;-0.1019189505
2023-02-07;9449;APV;;3M;;;;
2023-02-07;8940;APV;;;6M;;;
2023-02-07;8967;APV;;;6M;;;-0.1160222709
2023-02-07;9073;APV;;;6M;;;
2023-02-07;9221;APV;;;6M;;;-0.1124502236
2023-02-07;9352;APV;;;6M;;;
2023-02-07;9365;APV;;;6M;;;
2023-02-07;9445;APV;;;6M;;;-0.1048652421
2023-02-07;9449;APV;;;6M;;;
2023-02-07;8940;APV;;;;1Y;;
2023-02-07;8967;APV;;;;1Y;;-0.1586645269
2023-02-07;9073;APV;;;;1Y;;
2023-02-07;9221;APV;;;;1Y;;-0.1176372517
2023-02-07;9352;APV;;;;1Y;;
2023-02-07;9365;APV;;;;1Y;;
2023-02-07;9445;APV;;;;1Y;;-0.1156108182
2023-02-07;9449;APV;;;;1Y;;
2023-02-07;8940;APV;;;;;YTD;
2023-02-07;8967;APV;;;;;YTD;-0.0627836332
2023-02-07;9073;APV;;;;;YTD;
2023-02-07;9221;APV;;;;;YTD;-0.0557163395
2023-02-07;9352;APV;;;;;YTD;
2023-02-07;9365;APV;;;;;YTD;
2023-02-07;9445;APV;;;;;YTD;-0.0518857797
2023-02-07;9449;APV;;;;;YTD;
2023-02-08;8940;APV;1M;;;;;
2023-02-08;8967;APV;1M;;;;;-0.0597188883
2023-02-08;9073;APV;1M;;;;;
2023-02-08;9221;APV;1M;;;;;-0.0546624457
2023-02-08;9352;APV;1M;;;;;
2023-02-08;9365;APV;1M;;;;;
2023-02-08;9445;APV;1M;;;;;-0.0501525642
2023-02-08;9449;APV;1M;;;;;
2023-02-08;8940;APV;;3M;;;;
2023-02-08;8967;APV;;3M;;;;-0.1229019169
2023-02-08;9073;APV;;3M;;;;
2023-02-08;9221;APV;;3M;;;;-0.1054553140
2023-02-08;9352;APV;;3M;;;;
2023-02-08;9365;APV;;3M;;;;
2023-02-08;9445;APV;;3M;;;;-0.0995817434
2023-02-08;9449;APV;;3M;;;;
2023-02-08;8940;APV;;;6M;;;
2023-02-08;8967;APV;;;6M;;;-0.1153739464
2023-02-08;9073;APV;;;6M;;;
2023-02-08;9221;APV;;;6M;;;-0.1118597128
2023-02-08;9352;APV;;;6M;;;
2023-02-08;9365;APV;;;6M;;;
2023-02-08;9445;APV;;;6M;;;-0.1048813715
2023-02-08;9449;APV;;;6M;;;
2023-02-08;8940;APV;;;;1Y;;
2023-02-08;8967;APV;;;;1Y;;-0.1652629854
2023-02-08;9073;APV;;;;1Y;;
2023-02-08;9221;APV;;;;1Y;;-0.1219180209
2023-02-08;9352;APV;;;;1Y;;
2023-02-08;9365;APV;;;;1Y;;
2023-02-08;9445;APV;;;;1Y;;-0.1210445261
