Run Fondo;serie;caracteristica;fecha_inicio;fecha_termino;valor_inicial_cuota;continuadora_serie
8207;UNICA;;2002-02-07;2002-08-13;1000.0000000000;
8207;A;;2002-08-14;2007-06-30;1085.9354000000;UNICA
8207;B;;2002-08-14;2007-06-30;1000.0000000000;
8207;C;;2002-08-14;2007-06-30;1000.0000000000;
8207;I;;2002-08-14;2007-06-30;1000.0000000000;
8207;C;;2007-07-01;2008-03-25;1.7851000000;C
8207;A-APV;APV;2007-07-01;2011-01-09;1.9218000000;A
8207;C-APV;APV;2007-07-01;2011-01-09;1.7851000000;C
8207;A;;2007-07-01;;1.9218000000;A
8207;B;;2007-07-01;;1.7640000000;B
8207;B-APV;APV;2007-07-01;;1.7640000000;B
8207;BTGP;;;;1.0000000000;
8207;D;;;;1.0000000000;
8207;D-APV;APV;;;1.0000000000;
8207;I;;2007-07-01;;1.8948000000;I
8207;I-APV;APV;2007-07-01;;1.8948000000;I
8207;X;;;;1.0000000000;
8244;UNICA;;2002-10-03;2010-09-14;1000.0000000000;
8244;A;;2010-09-15;2021-10-23;1361.4256000000;UNICA
8244;E;;2010-09-15;2021-10-23;1000.0000000000;
8244;INSTI;;2011-08-05;2021-10-23;1000.0000000000;
8244;USD;;2010-09-15;2021-10-23;1000.0000000000;
8244;ALTOPATRIM;;2021-10-24;;996.1775000000;INSTI
8244;CLASICA;;2021-10-24;;1918.8313000000;A
8244;SBK;;2023-08-07;;1000.0000000000;
8244;WEALTH;;2023-01-25;;1000.0000000000;
8249;UNICA;;2003-02-24;2017-03-03;100.0000000000;
8249;A;;2017-03-04;2018-12-18;139.7503000000;UNICA
8249;A1;;2018-12-19;2020-02-06;100.0000000000;
8249;D;;2018-12-19;2020-02-06;100.0000000000;A
8249;BCH;;2018-03-28;;138.0000000000;
8249;L;;2020-02-07;;160.6431000000;D
8249;M;;2020-02-07;;114.2667000000;A1
8249;P;;2017-06-30;;138.0000000000;
8254;UNICA;;2002-11-15;2010-12-14;1000.0000000000;
8254;A;;2010-12-15;2017-01-14;1423.6689000000;UNICA
8254;F;;2010-12-15;2017-01-14;1000.0000000000;
8254;I;;2012-01-11;2017-01-14;1000.0000000000;
8254;M;;2016-06-06;2017-01-14;1000.0000000000;
8254;U;;;2017-01-14;1000.0000000000;
8254;FE;;;2018-11-18;1000.0000000000;
8254;P;;;2020-09-09;1000.0000000000;
8254;F1;;2017-01-15;;1568.6043000000;A
8254;F2;;2017-01-15;;1056.1761000000;M
8254;F3;;2017-01-15;;1114.2269000000;F
8254;F4;;2017-01-15;;1083.9526000000;I
8254;F5;;2019-06-25;;1000.0000000000;U
8254;F6;;2020-11-03;;1000.0000000000;P
8254;IT;;2017-03-07;;1000.0000000000;
8254;S;;;;1000.0000000000;
8502;B;APV;2007-03-07;2011-05-08;1.0000000000;
8502;APV-A;APV;2011-05-09;2013-04-26;1.0000000000;
8502;EX;;;2016-03-26;1.0000000000;
8502;G-APV;APV-APVC;2013-04-27;2016-03-26;1.0000000000;
8502;O;;2016-08-12;2017-12-06;1.0000000000;
8502;A;;2007-03-07;;1.0000000000;
8502;APV;APV;2013-04-27;;1.5706000000;APV-A
8502;APV-AP-APVC;APV-APVC;2022-09-29;;1.0000000000;
8502;F;;2011-05-09;;1.0000000000;
8502;I;;2011-05-09;;1.0000000000;
8502;LV;;2015-10-14;;1.0000000000;
8502;M;;;;1.0000000000;
8502;P;;2011-05-09;;1.0000000000;
8502;Q;;2017-05-31;;1.0000000000;
8619;D;APV;2008-04-24;2008-10-06;1000.0000000000;
8619;APVC1;APV;2008-10-06;2012-01-02;1000.0000000000;
8619;APVC2;APV;2008-10-06;2012-01-02;1000.0000000000;
8619;APVC3;APV;2008-10-06;2012-01-02;1000.0000000000;
8619;APVC4;APV;2008-10-06;2012-01-02;1000.0000000000;
8619;E;;2008-04-24;2012-12-31;1000.0000000000;
8619;F;;2008-04-24;2012-12-31;1000.0000000000;
8619;I;;2011-01-28;2012-12-31;1000.0000000000;
8619;M;;2013-01-01;2016-10-14;1000.0000000000;I
8619;AC;;;2020-02-19;1000.0000000000;
8619;APVAC;APV;;2020-02-19;1000.0000000000;
8619;I;;;2020-02-19;1000.0000000000;
8619;A;;2008-04-24;2022-04-29;627.9960000000;
8619;C;APV;2008-04-24;2022-04-29;1000.0000000000;
8619;LP180;;2013-01-01;2022-04-29;1105.5696000000;F
8619;LP3;;2013-01-01;2022-04-29;1108.2806000000;E
8619;LPI;;2016-10-15;2022-04-29;1124.5724000000;M
8619;PLAN1;APV;2012-01-03;2022-04-29;1041.9560000000;APVC1
8619;PLAN2;APV;2012-01-03;2022-04-29;1060.7400000000;APVC2
8619;PLAN3;APV;2012-01-03;2022-04-29;1077.8556000000;APVC3
8619;PLAN4;APV;2012-01-03;2022-04-29;1051.8120000000;APVC4
8619;B;APV;2008-04-24;;1000.0000000000;
8619;G;;2008-10-06;;1000.0000000000;
8619;GLB;;2022-04-30;;1000.0000000000;A
8619;H;APV;2022-04-30;;1000.0000000000;C
8619;I2;;2020-08-11;;1000.0000000000;
8619;INV;;2022-04-30;;1000.0000000000;LP180
8619;K;APV;2022-05-02;;1000.0000000000;
8619;O;;2018-04-10;;1000.0000000000;
8619;P;APV;2022-04-30;;1000.0000000000;
8619;PAT;;2022-04-30;;1000.0000000000;LPI
8750;A;;2009-10-03;2017-11-09;1.0000000000;
8750;B;APV;2016-02-10;2017-11-09;1.0000000000;
8750;C;;2009-10-03;2017-11-09;1.0000000000;
8750;I;;2009-10-03;2017-11-09;1.0000000000;
8750;APV;APV;2017-11-10;;1.0000000000;B
8750;CLASICA;;2017-11-10;;1.0000000000;A
8750;D;APV;;;1.0000000000;
8750;G;APV;;;1.0000000000;
8750;INSTITUCIO;;2017-11-10;;1.0000000000;I
8750;K;;2016-11-16;;1.0000000000;
8750;LIQUIDEZ;;2017-11-10;;1.0000000000;C
8750;X;;2016-08-18;;1.0000000000;
8753;APV;APV;2009-11-20;;1000.0000000000;
8753;BE;;2019-08-21;;1000.0000000000;
8753;CLASI;;2009-11-20;;1000.0000000000;
8753;CRECI;;2009-11-20;;1000.0000000000;
8753;PATRI;;2009-11-20;;1000.0000000000;
8906;AM;;;;1000.0000000000;
8906;APV;APV;2011-12-19;;1135.2317000000;
8906;CORPO;;2012-03-24;;1000.0000000000;
8906;EJECU;;2011-12-19;;1000.0000000000;
8906;G;;2017-01-03;;1000.0000000000;
8906;III;;2017-02-28;;1000.0000000000;
8906;INVER;;2011-12-19;;1000.0000000000;
8906;UNIVE;;2011-12-19;;1003.0475000000;UNIVE
8940;E;;2012-07-11;2015-04-04;1000.0000000000;
8940;F;;2012-07-11;2015-04-04;1000.0000000000;
8940;I;APV;2012-07-11;2015-10-02;150.0000000000;I
8940;G;;2015-04-05;2019-05-29;1000.0000000000;E
8940;V;;2015-10-03;2019-05-29;1000.0000000000;M
8940;A;;2012-07-11;;1.4692000000;A
8940;B;;2012-07-11;;150.0000000000;B
8940;D;;2012-07-11;;1000.0000000000;
8940;FO;;2019-05-30;;1000.0000000000;G
8940;GP;;2019-05-30;;1000.0000000000;V
8940;H;;2015-04-05;;1000.0000000000;F
8940;I-APV;APV;2015-10-03;;1000.0000000000;I
8940;J;;2019-06-25;;1000.0000000000;
8940;S;;2015-04-22;;1000.0000000000;
8967;A;;;;100.0000000000;
8967;ADC;;2021-05-14;;100.0000000000;
8967;ALPAT;;2012-12-20;;100.0000000000;
8967;APV;APV;2022-04-07;;100.0000000000;
8967;BCI;;2015-03-06;;100.0000000000;
8967;BPRIV;;2012-12-20;;100.0000000000;
8967;CLASI;;2012-12-20;;100.0000000000;
8967;COLAB;;2021-03-10;;100.0000000000;
8967;INSTI;;2012-12-20;;100.0000000000;
9073;E;;;2015-02-03;1.0000000000;
9073;F;;2014-12-10;2015-02-03;1.0000000000;
9073;I;APV;2014-12-04;2015-10-02;150.0000000000;
9073;A;;2014-11-26;2023-01-25;1.0000000000;
9073;B;;2014-12-04;2023-01-25;1.0000000000;
9073;D;;2014-12-11;2023-01-25;1.0000000000;
9073;G;;2015-02-04;2023-01-25;1000.0000000000;E
9073;H;;2015-02-04;2023-01-25;1000.0000000000;F
9073;I-APV;APV;2015-10-03;2023-01-25;1000.0000000000;I
